category_id,name,type
6e0819d8-35d9-4394-aded-3a5d73e3b292,TVC,GENRE
8e47413d-d605-4917-a9e3-c6fab2b5aa12,Music Video,GENRE
9656b6a1-075d-4772-b4d9-ce3c84e19e65,Documentary,GENRE
266b5f6f-24bf-4f8e-9cc8-b1ca84f51b7f,Brand Film,GENRE
046d2a05-8bda-4965-9fe3-d65726764e48,Event Film,GENRE
f769464f-0000-46ed-bd35-193dedbb5364,Short Film,GENRE
a03c94c2-51c3-49cf-9728-d95b668b9adb,FMCG,INDUSTRY
ace04fd8-9b9c-4a85-ba48-3a182126c223,Technology,INDUSTRY
f4a6b24b-f405-46c0-81ec-7ad5109e5f31,Fashion,INDUSTRY
47624640-2ed5-450c-8ff3-0082a496cbaf,F&B,INDUSTRY
0e5498aa-aecd-414c-a1a4-458f8d588375,Real Estate,INDUSTRY
da3ac098-0cb0-4c0f-b8e6-db0064a60db7,Automotive,INDUSTRY
d11b1e67-a288-4566-8fbd-64a3bdd7f1ba,Healthcare,INDUSTRY
104bdfde-0fb6-49aa-86eb-a16aa25cfa12,Education,INDUSTRY
1c6758c5-1160-4d76-8d59-4ea69410e307,Cinematography,SKILL
6c633c0f-7aae-4fa8-954d-5736852147f2,Color Grading,SKILL
55478df0-0133-4b4f-96ab-f3b1ba475741,VFX,SKILL
4b6422e5-9222-44c4-9615-b1ca0542d1ca,Motion Graphics,SKILL
83106139-7db2-4587-bc5e-99e9198ffb54,Drone Filming,SKILL
2122b2ca-16dd-4f00-960e-8e2783d0f917,Live Streaming,SKILL
9bdf1a84-1e77-45fe-a7ff-7dda4a727023,Social Media Content,SKILL
fc45ee87-0734-42c8-942b-1573323061ac,Product Photography,SKILL
3f6efe96-10df-5542-a313-12e5c77e449f,Beauty & Cosmetics,INDUSTRY
75263a7e-b8b9-54ff-b223-20f980ac0706,Skincare,GENRE
d0f07175-84a5-5d0b-84a8-ea7aced03fe0,Consumer Electronics,INDUSTRY
11b58824-40aa-5966-afc2-7adc53247258,Health & Wellness,INDUSTRY
cf3974a6-a864-5604-af8a-c944c7c4a928,Fashion & Apparel,INDUSTRY
9127fe88-ccd3-5afe-8066-8652f7f29b63,Home & Living,INDUSTRY
336810e4-1352-5b1c-99e5-a0014190e83b,Food & Grocery,GENRE
c5c75e2b-1a96-5635-978f-91305653af40,Fitness & Sports,INDUSTRY
e2561806-5dfd-5c87-862c-35073ce156c4,Pet Care,INDUSTRY
95ef0642-37ed-5c8a-9520-35dc41d2e5f5,Baby & Kids,INDUSTRY
ef25d838-f122-53b9-a3dd-772e4867d84c,Gaming & Peripherals,INDUSTRY
d4de100d-1f84-5661-85e2-f8a97d71aff7,Mobile Accessories,GENRE
8df036fe-a231-5cdd-badd-7c217b9688ec,Hair Care,GENRE
3cdfdc90-ea19-5eb0-b04e-23fb1f696247,Supplements & Nutrition,GENRE
08663dc4-7c9f-5821-8d3a-5d53d12e982b,Workwear & Office Fashion,GENRE
10b0f87a-eb2e-53ed-91ae-8c6791ee2e40,Smart Home & Tech,GENRE
f78984c9-09e9-51da-ba53-0944953d5bd3,Travel Accessories,GENRE
36e0b439-dd64-53b4-ad26-fba791a410b8,Dorm & College Lifestyle,GENRE
2351fdbf-c233-5e62-9d91-aae0b461060f,Clean Beauty,GENRE
3f780eef-1840-5ff5-b0db-4e6452c4aa10,Kitchen Gadgets,GENRE
7c26d78d-3caf-5edc-ba69-12dafd674e26,TikTok LIVE Production,SKILL
3cce3d22-3737-5298-bf60-c5badca09108,Short-Form Video Content,SKILL
3caf91d5-1d24-554a-9f65-114f517b83b4,Product Review & UGC,SKILL
9a760da9-7035-5b29-82f0-c6b33e64416a,KOL Campaign Management,SKILL
244aaff0-de48-5868-95cf-4b3ad376a466,Affiliate Marketing,SKILL
f0f46afa-325b-5efb-8329-58458c1589bf,Social Commerce Strategy,SKILL
f7dc6c4a-726e-5601-ad6d-5657270216fc,Hashtag Challenge Design,SKILL
4c8b8d93-e4fa-50c2-822c-798ddbfbbd4b,TikTok Shop Storefront Mgmt,SKILL
126c8d9b-fc25-5d30-bcd2-d81953c99c45,Branded Effect Creation,SKILL
ec01039e-e572-5ff2-ab22-f0ffdae9c9f5,Live Shopping Co-Hosting,SKILL
