metric_id,kol_id,platform,handle_url,follower_count,avg_engagement_rate,last_updated
met-0001,kol-0001,TIKTOK,tiktok.com/@shopwithsarah,"2,840,000",8.40%,2025-06-06 00:26:04
met-0002,kol-0001,INSTAGRAM,instagram.com/shopwithsarah,"890,000",5.10%,2025-06-05 18:42:40
met-0003,kol-0002,TIKTOK,tiktok.com/@beautybyalex,"1,560,000",9.20%,2025-06-02 13:20:19
met-0004,kol-0002,INSTAGRAM,instagram.com/beautybyalex,"620,000",6.80%,2025-05-10 13:33:45
met-0005,kol-0003,TIKTOK,tiktok.com/@techmike,"1,120,000",6.70%,2025-05-18 16:20:55
met-0006,kol-0003,YOUTUBE,youtube.com/@TechMikeReviews,"430,000",4.30%,2025-05-21 22:29:52
met-0007,kol-0004,TIKTOK,tiktok.com/@glowgetternina,"780,000",11.30%,2025-05-04 09:31:31
met-0008,kol-0004,INSTAGRAM,instagram.com/glowgetternina,"310,000",7.40%,2025-06-02 05:53:34
met-0009,kol-0005,TIKTOK,tiktok.com/@fitlifejess,"1,940,000",7.80%,2025-05-17 00:42:39
met-0010,kol-0005,INSTAGRAM,instagram.com/fitlifejess,"950,000",5.50%,2025-05-31 06:01:43
met-0011,kol-0006,TIKTOK,tiktok.com/@homewithkate,"650,000",10.10%,2025-05-16 05:44:17
met-0012,kol-0007,TIKTOK,tiktok.com/@fashionfwdtyler,"1,230,000",7.20%,2025-06-02 04:54:08
met-0013,kol-0007,INSTAGRAM,instagram.com/fashionfwdtyler,"510,000",4.90%,2025-05-07 01:11:56
met-0014,kol-0008,TIKTOK,tiktok.com/@foodiewithdan,"520,000",12.50%,2025-06-04 22:34:28
met-0015,kol-0009,TIKTOK,tiktok.com/@skincaremia,"2,200,000",8.90%,2025-05-15 13:54:02
met-0016,kol-0009,YOUTUBE,youtube.com/@SkincareMia,"870,000",5.60%,2025-05-25 14:50:25
met-0017,kol-0010,TIKTOK,tiktok.com/@gadgetgurujake,"960,000",7.10%,2025-05-16 00:20:33
met-0018,kol-0010,YOUTUBE,youtube.com/@GadgetGuruJake,"540,000",4.70%,2025-06-02 08:59:11
met-0019,kol-0011,TIKTOK,tiktok.com/@wellnesswithcora,"730,000",9.80%,2025-05-20 19:48:44
met-0020,kol-0012,TIKTOK,tiktok.com/@stylequeenrachel,"2,150,000",8.30%,2025-05-16 20:01:50
met-0021,kol-0012,INSTAGRAM,instagram.com/stylequeenrachel,"1,350,000",6.20%,2025-05-20 12:49:49
met-0022,kol-0013,TIKTOK,tiktok.com/@techtalkpriya,"1,080,000",7.50%,2025-06-03 20:18:24
met-0023,kol-0014,TIKTOK,tiktok.com/@beautyhaulsemma,"840,000",10.60%,2025-05-15 08:27:47
met-0024,kol-0015,TIKTOK,tiktok.com/@fitwithmarco,"990,000",8.10%,2025-05-27 21:56:14
met-0025,kol-0015,YOUTUBE,youtube.com/@FitWithMarco,"220,000",4.10%,2025-05-07 04:18:03
met-0026,kol-0016,TIKTOK,tiktok.com/@homeinspolily,"580,000",11.90%,2025-05-10 07:30:35
met-0027,kol-0021,TIKTOK,tiktok.com/@lifestylebylauren,"3,400,000",9.60%,2025-05-21 09:51:19
met-0028,kol-0021,INSTAGRAM,instagram.com/lifestylebylauren,"1,800,000",7.30%,2025-06-02 06:41:56
met-0029,kol-0022,TIKTOK,tiktok.com/@skincarenerddev,"1,650,000",8.70%,2025-05-19 09:44:10
met-0030,kol-0030,TIKTOK,tiktok.com/@workwearwendy,"710,000",9.20%,2025-06-02 21:07:57
