match_id,project_id,talent_user_id,initiated_by,status,proposed_fee,match_score,created_at
mch-0001,prj-0001,usr-0023,TALENT_APPLIED,SHORTLISTED,"$3,500.00",0.91,2025-04-17 21:30:47
mch-0002,prj-0001,usr-0024,TALENT_APPLIED,PITCHING,"$2,800.00",0.87,2025-05-30 18:15:13
mch-0003,prj-0001,usr-0026,SYSTEM_MATCH,PENDING,"$1,800.00",0.79,2025-05-26 06:06:40
mch-0004,prj-0002,usr-0025,BRAND_INVITED,HIRED,"$2,200.00",0.94,2025-04-30 05:15:50
mch-0005,prj-0002,usr-0016,BRAND_INVITED,HIRED,"$1,500.00",0.96,2025-05-10 10:13:25
mch-0006,prj-0003,usr-0027,TALENT_APPLIED,HIRED,"$2,500.00",0.88,2025-05-24 04:47:10
mch-0007,prj-0003,usr-0026,SYSTEM_MATCH,SHORTLISTED,"$1,800.00",0.83,2025-04-01 00:56:45
mch-0008,prj-0004,usr-0023,TALENT_APPLIED,SHORTLISTED,"$3,500.00",0.93,2025-04-30 12:04:47
mch-0009,prj-0004,usr-0017,BRAND_INVITED,PITCHING,"$1,200.00",0.90,2025-04-28 20:33:26
mch-0010,prj-0005,usr-0024,SYSTEM_MATCH,PITCHING,"$2,800.00",0.82,2025-04-21 09:45:40
mch-0011,prj-0005,usr-0029,BRAND_INVITED,PENDING,"$2,100.00",0.75,2025-05-12 17:42:43
mch-0012,prj-0006,usr-0028,TALENT_APPLIED,SHORTLISTED,"$1,600.00",0.85,2025-05-27 07:27:44
mch-0013,prj-0007,usr-0027,BRAND_INVITED,HIRED,"$2,500.00",0.92,2025-05-29 21:37:26
mch-0014,prj-0008,usr-0026,TALENT_APPLIED,HIRED,"$1,800.00",0.89,2025-06-03 13:34:28
mch-0015,prj-0009,usr-0024,BRAND_INVITED,HIRED,"$2,800.00",0.95,2025-05-02 06:53:42
mch-0016,prj-0009,usr-0018,BRAND_INVITED,HIRED,$950.00,0.91,2025-05-16 03:30:03
mch-0017,prj-0010,usr-0023,SYSTEM_MATCH,SHORTLISTED,"$3,500.00",0.88,2025-05-13 21:26:09
mch-0018,prj-0010,usr-0024,TALENT_APPLIED,PITCHING,"$2,800.00",0.84,2025-05-13 22:18:25
mch-0019,prj-0011,usr-0025,BRAND_INVITED,HIRED,"$2,200.00",0.90,2025-06-05 14:19:32
mch-0020,prj-0012,usr-0023,TALENT_APPLIED,PITCHING,"$3,500.00",0.87,2025-04-21 17:57:37
mch-0021,prj-0013,usr-0027,TALENT_APPLIED,REJECTED,"$2,500.00",0.62,2025-05-20 15:07:18
mch-0022,prj-0013,usr-0026,BRAND_INVITED,HIRED,"$1,800.00",0.91,2025-05-16 22:36:13
mch-0023,prj-0014,usr-0025,SYSTEM_MATCH,HIRED,"$2,200.00",0.93,2025-04-17 11:24:34
mch-0024,prj-0015,usr-0026,TALENT_APPLIED,SHORTLISTED,"$1,800.00",0.80,2025-06-03 23:14:00
mch-0025,prj-0016,usr-0020,BRAND_INVITED,PITCHING,$800.00,0.86,2025-04-09 05:35:16
mch-0026,prj-0021,usr-0027,TALENT_APPLIED,HIRED,"$2,500.00",0.94,2025-04-28 13:16:12
mch-0027,prj-0022,usr-0023,BRAND_INVITED,HIRED,"$3,500.00",0.97,2025-05-21 01:05:24
mch-0028,prj-0023,usr-0029,TALENT_APPLIED,HIRED,"$2,100.00",0.86,2025-06-04 10:53:29
mch-0029,prj-0024,usr-0026,SYSTEM_MATCH,REJECTED,"$1,800.00",0.55,2025-06-01 10:51:32
mch-0030,prj-0025,usr-0025,BRAND_INVITED,SHORTLISTED,"$2,200.00",0.89,2025-05-31 02:58:56
