requirement_id,project_id,talent_type,required_category_id,min_followers
req-0001,prj-0001,KOL,cat-0001,500000
req-0002,prj-0001,KOL,cat-0002,200000
req-0003,prj-0002,KOL,cat-0003,400000
req-0004,prj-0002,DIRECTOR,cat-0022,NULL
req-0005,prj-0003,KOL,cat-0004,100000
req-0006,prj-0004,DIRECTOR,cat-0021,NULL
req-0007,prj-0004,KOL,cat-0001,1000000
req-0008,prj-0005,KOL,cat-0005,300000
req-0009,prj-0006,KOL,cat-0006,150000
req-0010,prj-0007,KOL,cat-0008,250000
req-0011,prj-0008,KOL,cat-0001,100000
req-0012,prj-0009,KOL,cat-0002,200000
req-0013,prj-0009,DIRECTOR,cat-0022,NULL
req-0014,prj-0010,KOL,cat-0001,500000
req-0015,prj-0011,KOL,cat-0003,300000
req-0016,prj-0012,DIRECTOR,cat-0021,NULL
req-0017,prj-0012,KOL,cat-0008,750000
req-0018,prj-0013,KOL,cat-0004,200000
req-0019,prj-0014,KOL,cat-0003,150000
req-0020,prj-0015,KOL,cat-0002,100000
req-0021,prj-0016,DIRECTOR,cat-0021,NULL
req-0022,prj-0017,KOL,cat-0005,400000
req-0023,prj-0018,KOL,cat-0016,100000
req-0024,prj-0020,KOL,cat-0006,100000
req-0025,prj-0021,KOL,cat-0004,50000
req-0026,prj-0025,KOL,cat-0003,250000
req-0027,prj-0026,KOL,cat-0003,200000
req-0028,prj-0028,KOL,cat-0011,150000
req-0029,prj-0029,KOL,cat-0007,100000
req-0030,prj-0030,DIRECTOR,cat-0030,NULL
