user_id,category_id
usr-0001,cat-0001
usr-0001,cat-0002
usr-0002,cat-0003
usr-0003,cat-0004
usr-0004,cat-0005
usr-0005,cat-0014
usr-0006,cat-0001
usr-0007,cat-0002
usr-0008,cat-0019
usr-0009,cat-0002
usr-0010,cat-0001
usr-0011,cat-0024
usr-0012,cat-0026
usr-0013,cat-0025
usr-0014,cat-0024
usr-0016,cat-0021
usr-0016,cat-0022
usr-0017,cat-0001
usr-0017,cat-0023
usr-0018,cat-0003
usr-0019,cat-0005
usr-0023,cat-0001
usr-0023,cat-0022
usr-0024,cat-0002
usr-0025,cat-0003
usr-0026,cat-0002
usr-0027,cat-0008
usr-0028,cat-0006
usr-0029,cat-0005
usr-0069,cat-0007
